Lng,Lat,tradeTime,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district
116.475489,40.01952,8/9/16,106,415,31680,131,2,1,1,1,1,2005,3,6,0.217,1,0,1,7
116.453917,39.881534,7/28/16,126,575,43436,132.38,2,2,1,2,1,2004,4,6,0.667,1,1,0,7
116.561978,39.877145,12/11/16,48,1030,52021,198,3,2,1,3,4,2005,3,6,0.5,1,0,0,7
116.43801,40.076114,9/30/16,138,297.5,22202,134,3,1,1,1,1,2008,1,6,0.273,1,0,0,6
116.428392,39.886229,8/28/16,286,392,48396,81,2,1,1,1,4,1960,2,2,0.333,0,1,1,1
116.46628,39.991363,7/22/16,57,275.6,52000,53,1,0,1,1,4,2005,3,6,0.333,1,1,0,7
116.482586,39.891991,7/14/16,167,275,37672,73,2,1,1,1,4,1997,4,2,0.5,0,0,0,7
116.453917,39.881534,9/7/16,138,800,49521,161.55,3,2,1,2,1,2004,4,6,0.667,1,1,0,7
116.555729,40.162058,9/4/16,218,134,27917,48,1,0,1,1,3,2009,1,2,0.333,0,0,0,13
116.453086,39.898397,9/5/16,134,380,55883,68,1,0,0,0,1,2009,4,6,0.308,1,1,1,1
116.555729,40.162058,8/3/16,74,126,26250,48,1,1,1,1,3,2009,3,2,0.333,0,1,0,13
116.399018,39.978141,8/17/16,65,896,91710,97.7,3,1,1,1,4,1991,3,2,0.333,0,1,1,10
116.296286,39.870107,6/17/16,90,285,35568,80.13,1,1,1,1,1,2001,4,6,0.222,1,0,1,2
116.32922,39.892447,9/20/16,76,360,60607,59.4,2,1,1,1,1,1990,3,6,0.25,1,0,1,2
116.405549,39.975629,7/22/16,39,700,39115,178.96,4,1,1,1,1,1997,3,6,0.333,1,1,1,7
116.284755,39.93453,9/17/16,6,212,32981,64.28,1,0,1,1,1,2009,3,6,0.111,1,0,1,8
116.603852,39.893276,6/20/16,130,336,30189,111.3,2,1,1,1,4,2008,4,6,0.167,1,1,0,7
116.284755,39.93453,8/23/16,41,174.6,33577,52,1,0,1,1,1,2009,3,6,0.111,1,0,1,8
116.507351,39.934957,7/15/16,20,1950,63228,308.41,5,2,1,4,4,2011,4,6,1,1,0,1,7
116.448302,39.960966,7/28/16,276,176,29000,60.69,1,1,1,1,1,2008,4,6,0.364,1,1,0,7
116.432142,39.902354,7/26/16,115,520,87176,59.65,1,1,1,1,3,2005,4,6,0.5,1,1,1,1
116.453712,39.940847,12/4/16,84,1580,74999,210.67,4,2,1,3,4,2000,4,6,0.5,1,1,0,7
116.486595,39.917578,7/25/16,17,1150,52668,218.35,4,2,1,2,4,2005,4,6,0.333,1,1,1,7
116.475515,40.008231,6/29/16,83,213,36417,58.49,1,0,1,0,3,2004,3,6,0.429,1,0,1,7
116.373014,39.859478,6/27/16,119,160,30189,53,1,1,1,1,1,1998,3,6,0.25,1,1,1,2
116.284755,39.93453,10/30/16,13,210,40385,52,1,0,1,1,1,2009,3,6,0.111,1,0,1,8
116.450729,39.977923,8/15/16,37,1750,85366,205,3,2,1,2,4,2010,2,6,0.667,1,0,1,7
116.369475,40.069842,7/12/16,85,630,39378,159.99,3,2,1,2,4,2004,4,2,0.5,0,1,0,8
116.480923,39.900942,9/20/16,31,845,33988,248.62,2,2,1,2,4,2004,4,6,1,1,0,1,7
116.434144,39.892211,8/8/16,78,723,65407,110.54,3,1,1,1,4,1996,4,2,0.333,0,1,1,1
116.376709,39.867222,6/19/16,57,240,42165,56.92,2,1,1,1,1,1996,3,6,0.25,1,0,1,2
116.485296,39.991732,9/27/16,268,590,51687,114.15,2,2,1,1,1,2001,1,6,0.375,1,0,1,7
116.416572,40.063191,9/8/16,19,354.5,50672,69.96,3,1,1,2,3,2010,1,6,0.2,1,0,1,6
116.257104,39.873962,9/28/16,138,210,44436,47.26,1,1,1,1,3,2011,3,6,0.098,1,0,1,2
116.513848,39.875068,7/6/16,115,218,29416,74.11,2,1,1,1,4,1993,3,4,0.25,0,1,1,7
116.257104,39.873962,8/21/16,62,140,25455,55,1,0,1,1,3,2011,4,6,0.098,1,0,1,2
116.567579,40.076173,8/30/16,114,340,24029,141.5,3,2,1,2,3,2004,4,2,0.25,1,1,0,13
116.493655,39.905367,8/26/16,212,540,58888,91.7,2,2,1,1,1,2006,4,6,0.429,1,1,1,7
116.297022,39.788637,6/25/16,52,110,27195,40.45,1,1,1,1,4,2002,3,2,0.5,0,1,0,4
116.232365,40.235529,8/3/16,6,170,22078,77,2,1,1,1,4,Î´Öª,1,2,0.333,0,1,0,6
116.4388,40.054941,7/28/16,76,340,64151,53,1,1,1,1,3,2011,4,6,0.174,1,0,1,7
116.190634,39.768886,8/5/16,77,245,30625,80,2,1,1,1,4,2012,4,6,0.5,1,0,1,5
116.330345,39.984336,8/14/16,114,610,103566,58.9,2,1,1,1,4,1989,4,2,0.333,0,0,1,8
116.254212,40.216336,7/22/16,27,224.5,19026,118,2,2,1,2,4,1998,3,2,0.5,0,1,0,6
116.60292,39.909042,8/30/16,94,435,49505,87.87,2,1,1,1,3,2011,1,6,0.667,1,0,0,7
116.324898,39.891441,9/5/16,47,410,53178,77.1,3,1,1,1,1,1991,3,6,0.25,1,1,1,2
116.232119,40.223852,9/4/16,41,240,28784,83.38,1,1,1,1,1,2009,3,6,0.143,1,0,1,6
116.683117,40.127185,8/26/16,61,470,32879,142.95,3,2,1,2,4,2004,4,2,0.5,1,1,0,13
116.45831,39.923422,8/24/16,67,355,57677,61.55,1,0,1,1,1,2008,4,6,0.231,1,1,1,7
116.422479,40.06389,7/31/16,59,190,31240,60.82,1,1,1,1,1,2004,3,6,0.15,1,1,1,6
116.254212,40.216336,8/31/16,41,321,20523,156.41,3,1,1,2,4,2001,4,6,0.25,0,0,0,6
116.318694,40.087485,7/4/16,65,350,27853,125.66,3,1,1,2,4,2008,3,6,0.5,1,1,0,6
116.164506,39.731851,8/12/16,64,198,20625,96,3,1,1,1,4,2004,3,2,0.5,0,1,1,5
116.665923,40.186753,8/31/16,51,500,44147,113.26,3,2,1,2,4,2012,4,6,0.333,1,0,0,13
116.314388,39.972347,8/19/16,18,655,43149,151.8,2,1,1,1,1,1998,3,6,0.286,1,1,1,8
116.378537,39.879671,12/9/16,79,1135,61968,183.16,4,1,1,2,3,2003,1,6,0.286,1,0,1,10
116.284755,39.93453,3/22/17,117,280,67470,41.5,1,0,1,1,1,2009,4,6,0.111,1,0,1,8
116.413046,40.056407,7/15/16,110,346,34992,98.88,4,1,1,2,4,1998,3,4,0.5,0,1,0,6
116.559275,40.113935,1/22/17,81,530,26100,203.07,6,2,1,2,4,1998,4,6,0.5,0,1,0,13
116.474383,39.902184,6/29/16,43,406,63577,63.86,1,1,1,1,3,2007,4,6,0.25,1,0,1,7
116.384103,39.972885,8/15/16,213,642,89665,71.6,2,1,1,1,3,1993,1,2,0.222,1,0,0,10
116.497474,39.810115,7/7/16,266,165,29741,55.48,1,1,1,1,1,2009,4,6,0.25,1,0,1,3
116.403304,39.891691,8/31/16,176,400,66879,59.81,1,1,1,1,3,2002,4,6,0.167,1,1,1,10
116.386555,40.0865,7/28/16,83,200,41667,48,1,0,1,1,4,2009,4,6,0.333,1,1,0,6
116.364028,39.870465,6/27/16,93,200,48310,41.4,1,1,1,1,4,1990,3,2,0.333,0,0,0,2
116.461949,40.003018,6/24/16,64,845,43772,193.05,4,2,1,3,3,2003,4,6,0.5,1,1,1,7
116.483319,39.915337,7/23/16,82,300,43809,68.48,3,1,1,1,1,1994,4,6,0.143,1,1,1,7
116.516087,39.923147,7/27/16,35,225,40910,55,1,0,1,1,1,2005,4,6,0.25,1,1,0,7
116.555729,40.162058,8/10/16,18,395,44887,88,3,4,1,3,4,2009,3,4,0.5,0,0,0,13
116.444356,39.932936,12/29/16,110,392.5,83582,46.96,1,0,1,1,1,2003,4,6,0.4,1,0,1,7
116.517555,39.872965,7/17/16,80,200,33406,59.87,2,1,1,1,4,1984,4,2,0.333,0,1,0,7
116.472165,39.903144,8/13/16,195,300,50092,59.89,2,1,1,1,4,1992,4,2,0.333,0,0,1,7
116.471754,40.02946,9/12/16,93,510,75333,67.7,1,2,1,1,1,2009,3,6,0.333,1,1,1,7
116.249496,40.221791,8/8/16,70,102,24286,42,1,1,1,1,4,1989,3,2,0.333,0,1,1,6
116.309431,39.842691,7/6/16,30,288,41728,69.02,1,1,1,1,1,2006,3,6,0.3,1,0,1,2
116.330357,39.692063,9/7/16,48,468,22076,212,4,2,1,1,4,2014,2,6,0.5,1,0,1,4
